992537230095-14,@AmberGrid
656322315335-91,@gazafg
319496319069-35,@anigas
424387214082-04,@APETRO_PT
383776936066-26,@bayernets
20457441380-38,@bdew_ev
010537126862-09,@bhp
3394026642-58,@bp_plc
518669525033-70,@BVEG_de
473235716272-48,@Cepsa
814393617568-15,@Cheniere
09981988815-02,@Chevron
1798200413-71,@conocophillips
383742140714-91,@desfa_gr
72760517350-57,@EON_SE_en
401111262-07,@EdisonNews
470504137940-01,@Elengy
460784940325-92,@EleringAS
247299118284-24,@energynetworks
905001612275-82,@enagas
619995310682-09,@Energie_NL
872104121716-69,@Energigas
203401420540-78,@EnerginetDK
13457582538-68,@EnergyUKcomms
90947457424-20,@ENGIEgroup
99578067285-35,@eni
565032821273-72,@ENTSOG
4447605981-76,@Equinor
17909506129-41,@Eurogas_Eu
046510618791-04,@Eustream_TSO
0745650927-75,@exxonmobil
04011446819-63,@FGW_GasWaerme
236409524439-34,@FluxysGroup
382692732615-35,@gd4s_eu
026007721768-32,@GasNetIrl
943288637380-93,@GTGascade
12847789685-76,@GasNaturallyEU
48395175526-25,@GasTerraNL
29967294656-11,@Gasunie
607998918721-96,@GRDF
622135013267-04,@GazpromEN
329897622408-17,@GERG_Eu
76130992074-15,@GIEBrussels
584527815328-09,@GRTgaz
320513025228-22,@IADC_org
13083157825-94,@IGU_News
3954187491-70,@IOGP_EU
477543424417-73,@Italgas
67871479752-52,@ITMPowerPlc
142134115688-51,@KosmosEnergy
090402719722-89,@ASLatvijasGaze
63503202933-02,@LiquidGasEurope
04927146320-85,@lukoilengl
08569166274-90,@MOL_Group
769349815543-90,@NaftogazUkraine
56039866688-26,@ng_eso
67833029261-54,@Naturgy
095318821630-24,@nedgia
54666125767-31,@Norskoljeoggass
589052325294-59,@oilandgasuk
94274031992-65,@omv
582808718534-59,@ONTRAS_Netz
626410131041-16,@OpenGridEurope
00105537635-20,@GAZ_SYSTEM
36820998995-30,@REN_PT
823412134793-73,@Reganosa
69240395197-02,@Repsol
290262937241-20,@RosneftEN
77608353460-77,@RWE_AG
187982333602-44,@sedigas
05032108616-26,@Shell
292576015608-71,@ConnectSHV
284336314886-25,@snam
293526811220-13,@SOCAR_HR
151508738054-23,@Storengy
35176395681-91,@TechnipFMC
702152628415-31,@thuega
1849405799-88,@Total
570335813082-79,@tap_pipeline
285977820662-03,@uniper_energy
99781077034-89,@VNGAG
75729476306-17,@wintershalldea
48838196790-63,@zukunft_gas
Alienor Margerit,@AlienorMargerit
Antoine Colombani,@colombanibxl
Arto Virtanen,@ArtoJVirtanen
Asa Webber,@WebberAsa
Daniel Mes,@DanielMesEU
Dara Murphy,@DaraMurphyEPP
Diederik Samsom,@diederiksamsom
Eszter Batta,@EszterBatta
Frans Timmermans,@TimmermansEU
Gaelle Garnier,@gaelle_garnier
Geneviève Tuts,@GenevieveTuts
Henrik Hololei,@Transport_EU
Janusz Wojciechowski,@jwojc
Jorge Pinto Antunes,@JhpaJorge
Jutta Urpilainen,@JuttaUrpilainen
Kadri Simson,@KadriSimson
Kim Jorgensen,@KimJorgensenHoC
Kitti Nyitrai,@NyitraiKitti
Kyriacos Charalambous,@kyriacosch
Maciej Golubiewski,@MGolubiewskiPL
Mariya Gabriel,@GabrielMariya
Natalie Pauwels,@belgonate
Olivér Várhelyi,@OliverVarhelyi
Penelope Papandropoulos,@pen_papan
Stefano Grassi,@StefanoBPGrassi
Thierry Breton,@ThierryBreton
Valere Moutarlier,@VMoutarlier
Virginijus Sinkevičius,@VSinkevicius
